NFUEL_ALERT,PB12
TELIT_GPIO2,PC12
CAM_EN,PD4
RAD_EN,PD5
TELIT_RESET,PF6
TELIT_POWER_OFF,PF7
PWRMON,PF8
TP14,PG9
TP15,PG10
TP16,PG11
TP17,PG12
NCHRG,PG13
NFAULT,PG14
PA15,PA15
PB2,PB2
PB3,PB3
PB4,PB4
PB10,PB10
PB11,PB11
PB14,PB14
PB15,PB15
LED_IR,PA3
LED_RED,PA0
LED_GREEN,PA2
LED_BLUE,PA1
USB_VBUS,PA9
USB_DM,PA11
USB_DP,PA12
USB_ID,PA10
SDRAM_SDCKE0,PC5
SDRAM_SDNE0,PC4
SDRAM_SDCLK,PG8
SDRAM_SDNCAS,PG15
SDRAM_SDNRAS,PF11
SDRAM_SDNWE,PC0
SDRAM_BA0,PG4
SDRAM_BA1,PG5
SDRAM_NBL0,PE0
SDRAM_NBL1,PE1
SDRAM_A0,PF0
SDRAM_A1,PF1
SDRAM_A2,PF2
SDRAM_A3,PF3
SDRAM_A4,PF4
SDRAM_A5,PF5
SDRAM_A6,PF12
SDRAM_A7,PF13
SDRAM_A8,PF14
SDRAM_A9,PF15
SDRAM_A10,PG0
SDRAM_A11,PG1
SDRAM_D0,PD14
SDRAM_D1,PD15
SDRAM_D2,PD0
SDRAM_D3,PD1
SDRAM_D4,PE7
SDRAM_D5,PE8
SDRAM_D6,PE9
SDRAM_D7,PE10
SDRAM_D8,PE11
SDRAM_D9,PE12
SDRAM_D10,PE13
SDRAM_D11,PE14
SDRAM_D12,PE15
SDRAM_D13,PD8
SDRAM_D14,PD9
SDRAM_D15,PD10
